"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"1";1;"Albania";"ALB";"Albania";"15/03/2020";"Travel restriction";"Border restriction";"Borders closed for travellers but open for food supply";"";"""On 15 March, Albania closed all of its land borders until further notice, making all travel from Montenegro, Kosovo, North Macedonia, and Greece prohibited.""";"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania"
"2";2;"Albania";"ALB";"Albania";"10/03/2020";"Travel restriction";"Cancellation of international flights";"To and from Italy";"";"";"https://www.tiranatimes.com/?p=144535"
"3";3;"Albania";"ALB";"Albania";"08/03/2020";"Travel restriction";"Cancellation of international flights";"Northern Italy";"Government stopped all flights with quarantines areas of Northern Italy until 3rd April.";"";"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania"
"4";4;"Albania";"ALB";"Albania";"14/03/2020";"Travel restriction";"Cancellation of international flights";"";"All flight to and from Greece are suspended";"";"https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/"
"5";5;"Albania";"ALB";"Albania";"14/03/2020";"Travel restriction";"Cancellation of international flights";"";"All flights to and from UK are suspended";"";"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania ---  https://exit.al/en/2020/03/16/all-flights-between-uk-and-albania-banned-due-to-coronavirus-measures/"
"6";6;"Albania";"ALB";"Albania";"08/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of kindergardens";"Government shuts down schools for two weeks";"https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania"
"7";7;"Albania";"ALB";"Albania";"08/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"Government shuts down schools for two weeks";"https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania"
"8";8;"Albania";"ALB";"Albania";"08/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of universities, research institutions";"Government shuts down schools for two weeks";"https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania"
"9";10;"Albania";"ALB";"Albania";"25/02/2020";"Risk communication";"Educate and actively communicate with the public";"Encourage self-initiated quarantine";"Citizens returning from high risk countries but with no symptoms to self-quarantine.";"""The head of the National Medical Emergency Center (NMEC) Skender Brataj... called on the citizens coming from the geographical areas where the coronavirus appeared but have no flu symptoms to stay at home, in conditions of frequent ventilation, to avoid contact with other family members and to wear a mask.""";"https://balkaneu.com/albania-national-medical-emergency-center-hands-out-coronavirus-instructions-and-increases-hospital-budget/?fbclid=IwAR0iSbB9XWv8cCaFWQjMl0l7oyEmnoBnBWFFtDidbci7RuoDUNcgYK1zgDQ"
"10";11;"Albania";"ALB";"Albania";"14/03/2020";"Risk communication";"Educate and actively communicate with the public";"Encourage self-initiated quarantine";"Elderly";"""Over 70s have been asked not to leave their homes.""";"https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/"
