id,Country,iso3,State,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Comment,Source
1,Albania,ALB,Albania,Albania,2020-03-16,Travel restriction,Border restriction,Land borders closed ,"Montenegro, Kosovo, North Macedonia, and Greece","""On 15 March, Albania closed all of its land borders until further notice, making all travel from Montenegro, Kosovo, North Macedonia, and Greece prohibited.""",https://www.garda.com/crisis24/news-alerts/323096/albania-borders-closed-as-of-march-16-due-to-covid-19-update-2
2,Albania,ALB,Albania,Albania,2020-03-09,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: Italy,To and from Italy,https://www.garda.com/crisis24/news-alerts/321046/albania-authorities-suspend-educational-activities-nationwide-and-restrict-travel-to-italy-march-9-april-3-update-1
3,Albania,ALB,Albania,Albania,2020-03-08,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: Northern Italy,Government stopped all flights with quarantines areas of Northern Italy until 3rd April.,https://tvklan.al/ndalohen-fluturimet-me-10-destinacione-drejt-italise/
4,Albania,ALB,Albania,Albania,2020-03-14,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: Greece,All flight to and from Greece are suspended,https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/
5,Albania,ALB,Albania,Albania,2020-03-16,Travel restriction,Airport restriction,Cancellation of international flights,Partial cancellation of international flights: United Kingdom,All flights to and from UK are suspended,https://exit.al/en/2020/03/16/all-flights-between-uk-and-albania-banned-due-to-coronavirus-measures/
6,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Closure of educational institutions,Complete closure of kindergartens,,Government shuts down schools for two weeks,https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
7,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Closure of educational institutions,Complete closure of primary and secondary schools,,Government shuts down schools for two weeks,https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
8,Albania,ALB,Albania,Albania,2020-03-08,Social distancing,Closure of educational institutions,"Complete closure of universities, research institutions",,Government shuts down schools for two weeks,https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0
9,Albania,ALB,Albania,Albania,2020-02-25,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Citizens returning from high risk countries but with no symptoms to self-quarantine.,"""The head of the National Medical Emergency Center (NMEC) Skender Brataj... called on the citizens coming from the geographical areas where the coronavirus appeared but have no flu symptoms to stay at home, in conditions of frequent ventilation, to avoid contact with other family members and to wear a mask.""",https://balkaneu.com/albania-national-medical-emergency-center-hands-out-coronavirus-instructions-and-increases-hospital-budget/?fbclid=IwAR0iSbB9XWv8cCaFWQjMl0l7oyEmnoBnBWFFtDidbci7RuoDUNcgYK1zgDQ
10,Albania,ALB,Albania,Albania,2020-03-14,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Elderly,"""Over 70s have been asked not to leave their homes.""",https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/
